,name,genre,type,rating,members
0,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,9.37,200630
1,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,9.26,793665
2,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.25,114262
3,Steins;Gate,"Sci-Fi, Thriller",TV,9.17,673572
4,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.16,151266
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,9.15,93351
6,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,9.13,425855
7,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,9.11,80679
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,9.1,72534
9,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.11,81109
10,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,9.06,456749
11,Koe no Katachi,"Drama, School, Shounen",Movie,9.05,102733
12,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.04,336376
13,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,8.98,572888
14,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,8.93,179342
15,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,8.93,466254
16,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,8.92,416397
17,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.88,75894
18,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,8.84,226193
19,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,8.83,715151
20,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,8.83,157670
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,8.83,129307
22,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,8.82,486824
23,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,8.82,552458
24,Mononoke Hime,"Action, Adventure, Fantasy",Movie,8.81,339556
25,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,8.81,240297
26,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,8.8,205959
27,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.8,101351
28,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.78,300030
29,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,8.78,562962
30,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,8.77,268487
31,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.76,38865
32,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,8.75,88995
33,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,8.75,32266
34,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.75,98431
35,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,8.74,333186
36,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,8.73,340973
37,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,8.73,34347
38,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,8.72,247562
39,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,8.71,133620
40,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,8.71,1013917
41,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,8.69,16947
42,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,8.68,176475
43,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,8.68,284498
44,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,8.68,66756
45,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,8.68,111074
46,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.67,102322
47,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,8.67,97187
48,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.66,49036
49,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,8.65,402381
50,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,8.65,122531
51,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.64,56162
52,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,8.64,33422
53,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,8.64,139474
54,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,8.64,355839
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,8.64,82253
56,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.64,114173
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,8.62,463835
58,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,8.62,184525
59,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,8.61,192424
60,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,8.61,197439
61,Shokugeki no Souma,"Ecchi, School, Shounen",TV,8.61,348951
62,Yuri!!! on Ice,"Comedy, Sports",TV,8.61,103178
