,Rank,Name,Type,Tags,Rating
0,1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV   ,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence",4.6
1,2,Fruits Basket the Final Season,TV   ,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse",4.6
2,3,Mo Dao Zu Shi 3,Web  ,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel",4.58
3,4,Fullmetal Alchemist: Brotherhood,TV   ,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse",4.58
4,5,Attack on Titan 3rd Season: Part II,TV   ,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.57
5,6,Jujutsu Kaisen,TV   ,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence",4.56
6,7,Attack on Titan The Final Season: Part II,TV   ,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga",4.56
7,8,Attack on Titan The Final Season,TV   ,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",4.55
8,9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.54
9,10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV   ,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.53
10,11,your name.,Movie,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work",4.51
11,12,Haikyuu!! Second Season,TV   ,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.51
12,13,Demon Slayer: Kimetsu no Yaiba,TV   ,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence",4.51
13,14,Hunter x Hunter (2011),TV   ,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence",4.51
14,15,A Silent Voice,Movie,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide",4.51
15,16,Violet Evergarden Movie,Movie,"Drama, Melancholy, War, Based on a Light Novel, Violence",4.5
16,17,Haikyuu!! To the Top: Part II,TV   ,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.5
17,18,Heaven Official's Blessing Special,Web  ,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel",4.5
18,19,That Time I Got Reincarnated as a Slime Season 2,TV   ,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga",4.48
